filename,time,reagent,valve,mass 1,mass 2,mass 3,mass 4,mass 5,pressure 1,pressure 2,pressure 3,pressure 4,pressure 5,L1,L2,L3,L4,L5,Lavg,Lstdev,L_cv_abs,pass/fail,lowerbound,upperbound,ci_cf,p-value
data/20201208/unit0.yaml,2020-12-08T20:38:03.555336Z,valve,1,0.2923226666543669,0.296019177572447,0.2963636112020886,0.2968187556412522,0.29737230968888617,6.082628,6.083772,6.080339,6.083772,6.082628,0.01687380913160628,0.016664665964017843,0.016640601263798127,0.016619774254260464,0.016587277030361326,0.016677225528808806,0.00010152396137299984,0.6087581006662284,True,0.01616011060291111,0.017194340454706504,0.008450917244221293,0.06102319727882692
data/20201208/unit0.yaml,2020-12-08T20:38:03.555336Z,valve,2,0.2774812675772682,0.2836472446078442,0.2840716360443639,0.28299528095174176,0.2834965548948785,6.07805,6.083772,6.082628,6.082628,6.082628,0.01776963307317507,0.01739153405141764,0.017363919012307247,0.017429961607059785,0.017399142235774188,0.017470837995946786,0.00015087109998367343,0.8635596072648337,True,0.016702372141846354,0.01823930385004722,0.011988129223184905,0.22684217215619515
data/20201208/unit0.yaml,2020-12-08T20:38:03.555336Z,valve,3,0.2947798315658001,0.2969448429521035,0.29703710196003885,0.29767368911482117,0.29697252065448265,6.086061,6.086061,6.086061,6.086061,6.086061,0.016737877296289855,0.016615842191828177,0.016610681351291717,0.01657515874124224,0.016614293602975744,0.016630770636725547,5.56101608337158e-05,0.33438114233210875,True,0.016347518842668444,0.01691402243078265,0.004641954429492158,0.15965711276716757
data/20201208/unit0.yaml,2020-12-08T20:38:03.555336Z,valve,4,0.2872576471185221,0.29378650958033176,0.2935896903633984,0.29359584096392793,0.292682476785325,6.08835,6.083772,6.082628,6.082628,6.083772,0.017179408319214683,0.016791311215191233,0.016800988058751326,0.01680063609134705,0.01685465001994767,0.016885398740890394,0.00014869394641008123,0.8806066631402533,True,0.01612802227488761,0.017642775206893176,0.012224780297401615,0.2757497500059513
data/20201208/unit0.yaml,2020-12-08T20:38:03.555336Z,valve,5,0.27888360449793437,0.2818481939530357,0.2798953782849949,0.28005529389875483,0.28129463990540715,6.086061,6.083772,6.080339,6.07805,6.080339,0.017691927996455234,0.017502545054484567,0.0176196860174366,0.0176063099571691,0.017532039305020734,0.017590501666113246,6.714632098428497e-05,0.3817191928848579,True,0.017248490141636562,0.01793251319058993,0.005299111923226091,0.4413842299178285
data/20201208/unit0.yaml,2020-12-08T20:38:03.555336Z,valve,6,0.28534788565418423,0.28904439657226977,0.288167935996853,0.28910897787782597,0.28850929432622435,6.080339,6.07805,6.07805,6.07805,6.073472,0.017283004119014178,0.01705876456350792,0.017110648665580246,0.01705495396829648,0.01708396621772291,0.01711826750682435,8.476081759391359e-05,0.49514834115148,True,0.01668653608779442,0.01754999892585428,0.006873760940684183,0.215436971789951
data/20201208/unit0.yaml,2020-12-08T20:38:03.555336Z,valve,7,0.289068998974386,0.29595459626688714,0.2957147228462545,0.29406943720467643,0.2947521538634228,6.080339,6.07805,6.07805,6.073472,6.073472,0.017060524305998793,0.016660462015873213,0.01667397639883867,0.016760949674405376,0.016722127296318775,0.016775607938286967,0.0001468604328024383,0.8754403020307762,True,0.016027570521317792,0.01752364535525614,0.012153059707331153,0.3315635925221089
data/20201208/unit0.yaml,2020-12-08T20:38:03.555336Z,valve,8,0.2727330039686749,0.27235781733638575,0.27235474203612103,0.27527627728753035,0.27669091540925367,6.071183,6.071183,6.068894,6.068894,6.066606,0.01806878547036062,0.01809367613381386,0.018090469176578,0.017898473179194248,0.01780360665579114,0.017991002123147574,0.00011846059508794552,0.6584435612707299,True,0.01738762001490183,0.01859438423139332,0.009140662013695625,0.05756209507020696
data/20201208/unit0.yaml,2020-12-08T20:38:03.555336Z,valve,9,0.29511811459490855,0.29811345705266284,0.29617601788594766,0.2972185446756539,0.2958500360578928,6.071183,6.066606,6.065461,6.065461,6.065461,0.016698243502135793,0.016524232994644446,0.016630756822419067,0.01657242261067134,0.01664908139179599,0.01661494746433333,6.064778464314691e-05,0.3650194186490037,True,0.016306036402969435,0.016923858525697225,0.005067281891050862,0.8514901213384826
data/20201208/unit0.yaml,2020-12-08T20:38:03.555336Z,valve,10,0.2712630104421824,0.27751817118043437,0.2818266668511824,0.28457906058802657,0.2837179765139317,6.065461,6.065461,6.060884,6.060884,6.060884,0.018158138561038706,0.017748860585028618,0.017470924921361163,0.017301949508233203,0.017354460925928305,0.017606866900318,0.00031598299446570534,1.7946577108502952,True,0.01599739933661907,0.01921633446401693,0.024913843083978943,0.02713031738783759
data/20201208/unit0.yaml,2020-12-08T20:38:03.555336Z,valve,11,0.2854924247666204,0.28806337578785135,0.28946263740826,0.28890293276009105,0.2877004903566303,6.063172,6.060884,6.060884,6.060884,6.058595,0.017249851103441023,0.017092671096865363,0.01701004517018185,0.017042999495900723,0.017110998554827603,0.01710131308424331,8.241643301669747e-05,0.4819304378014911,True,0.016681522848757912,0.01752110331972871,0.006690267025398911,0.32438607812328324
data/20201208/unit0.yaml,2020-12-08T20:38:03.555336Z,valve,12,0.26428515414173853,0.26881814673179905,0.2707125316948041,0.27023278485353147,0.2718442421921991,6.060884,6.060884,6.058595,6.058595,6.058595,0.018630530168765397,0.018316369624804162,0.01818476094880384,0.018217044528419147,0.01810905625595318,0.018291552305349144,0.00018208926488519348,0.9954828428199813,True,0.017364075920026423,0.019219028690671866,0.013819517331279634,0.04472538973458132
