ENGINEER,PARENT,PARTNO,DESCRIPTION,QTY,VENDOR,VENDOR PARTNO,MANUFACTURER,MANUF. PARTNO,APPROX. LEAD TIME [WEEKS],COST EA.,EXT COST,NOTES,MULTIPLIER,EXTENDED_QTY,QTY ORDERED,QTY RECEIVED
unknown,RC-ASY-00079,MCM 91292A116,"SHCS, M4x0.7, 10mm, 18-8 SS",2,MCMASTER,91292A116,,,1,$0.07,$0.14,100,1,6,,
unknown,RC-ASY-00079,MCM 91292A124,"SHCS, M5x0.8, 10mm, 18-8 SS",4,MCMASTER,91292A124,,,1,$0.09,$0.35,100,1,12,,
unknown,RC-ASY-00079,MCM 91292A126,"SHCS, M5x0.8, 16mm, 18-8 SS",6,MCMASTER,91292A126,,,1,$0.11,$0.64,100,1,18,,
unknown,RC-ASY-00079,MCM 91292A138,"SHCS, M6x1.0, 25mm, 18-8 SS",13,MCMASTER,91292A138,,,1,$0.19,$2.45,50,1,39,,
unknown,RC-ASY-00079,MCM 91292A201,"SHCS, M6x1.0, 8mm, 18-8 SS",8,MCMASTER,91292A201,,,1,$0.13,$1.01,50,1,24,,
unknown,RC-ASY-00079,MCM 92095A179,"BHCS, M3x0.5, 6mm, 18-8 SS",14,MCMASTER,92095A179,,,1,$0.05,$0.71,100,1,42,,
unknown,RC-ASY-00079,MCM 92095A479,"BHCS, M4x0.7, 22mm, 18-8 SS",4,MCMASTER,92095A479,,,1,$0.13,$0.54,50,1,12,,
unknown,RC-ASY-00079,MCM 92125A208,"FHCS, M5x0.8, 10mm, 18-8 SS",16,MCMASTER,92125A208,,,1,$0.12,$1.86,100,1,48,,
unknown,RC-ASY-00079,MCM 9247K330,"VIBRATION DAMPING MOUNT, M6x1 F-F, 0.5in THICK, 210lb, NATURAL RUBBER",8,MCMASTER,9247K33,,,1,$2.68,$21.44,8,1,24,,
unknown,RC-ASY-00079,MCM 93339A064,"SET SCREW, BALL POINT, M4x0.7, 8mm, ALLOY S",2,MCMASTER,93339A064,,,1,$5.35,$10.70,2,1,6,,
unknown,RC-ASY-00079,MCM 94500A222,"BHCS, M3X0.5, 8MM, 316SS",4,MCMASTER,94500A222,,,1,$0.06,$0.25,100,1,12,,
unknown,RC-ASY-00079,MCM 94500A315,"BHCS, M6x1.0, 14mm, 316 SS",10,MCMASTER,94500A315,,,1,$0.17,$1.67,50,1,30,,
unknown,RC-ASY-00079,MCM 96016A051,"THUMB SCREW, M3x0.5, 6mm, PLASTIC HEAD",2,MCMASTER,96016A051,,,1,$0.53,$1.05,2,1,6,,
unknown,RC-ASY-00079,MCM 91292A139,"SHCS, M6x1.0, 30mm, 18-8 SS",8,MCMASTER,91292A139,,,1,$0.20,$1.57,50,1,24,,
unknown,RC-ASY-00079,MCM 93475A250,"FWSH, M6, 18-8 SS",8,MCMASTER,93475A250,,,1,$0.05,$0.39,0,1,24,,
unknown,RC-ASY-00079,MCM 98952A102,"HEX STAND OFF, M3x0.5, 5mm, M-F, AL",7,MCMASTER,98952A102,,,1,$1.57,$10.99,15,1,21,,
unknown,RC-ASY-00079,MCM 98952A108,"HEX STANDOFF, M3x0.5, 10mm, 4.5mm Hex, M-F, AL",4,MCMASTER,98952A108,,,1,$1.66,$6.64,4,1,12,,
unknown,RC-ASY-00084,MCM 92095A177,"BHCS, M3x0.5, 5mm, 18-8 SS",4,MCMASTER,92095A177,,,1,$0.06,$0.24,,1,12,,
unknown,RC-ASY-00086,RC-FAB-00600,"DIN RAIL, DC POWER, RC2-B",1,,,READCOOR,,1,,$0.00,1,1,3,,
unknown,RC-ASY-00086,RC-FAB-00601,"DIN RAIL, AC POWER, RC2-B",1,,,READCOOR,,1,,$0.00,1,1,3,,
unknown,RC-ASY-00086,MCM 92095A308,"BHCS, M5x0.8, 5mm, 18-8 SS",2,MCMASTER,92095A308,,,1,$0.23,$0.46,50,1,6,,
unknown,RC-ASY-00086,MCM 94500A223,"BHCS, M3x0.5, 10mm, 316 SS",6,MCMASTER,94500A223,,,1,$0.07,$0.42,100,1,18,,
unknown,RC-ASY-00086,MCM 94500A225,"BHCS, M4X0.7, 316SS",2,MCMASTER,94500A225,,,1,$0.08,$0.16,100,1,6,,
unknown,RC-ASY-00097,KOOL FIT-V06X10,"COMPRESSION FITTING, STRAIGHT, 10mm OD TUBING TO 1-4in BSPP",2,KOOLANCE,FIT-V06X10,,,1,$3.99,$7.98,2,1,6,,
unknown,RC-ASY-00097,KOOL HX-120XC,"RADIATOR, 120X120mm FANS, 54mm THICK",1,KOOLANCE,HX-120XC,,,1,$48.99,$48.99,1,1,3,,
unknown,RC-ASY-00097,KOOL SEN-TP010MFG,"INLINE TEMP SENSOR, 1-4IN BSPP M-F",1,KOOLANCE,SEN-TP010MFG,,,1,$19.99,$19.99,1,1,3,,
unknown,RC-ASY-00097,MCM 5225K36,"PTC Fitting, Bulkhead, 6mm OD Tubing, 13mm Panel Hole, Nylon, Air",1,MCMASTER,5225K36,,,1,$6.05,$6.05,2,1,3,,
unknown,RC-ASY-00097,MCM 92125A128,"FHCS, 18-8 SS, M3X.5, 8MM",2,MCMASTER,92125A128,,,1,$0.04,$0.07,100,1,6,,
unknown,RC-ASY-00097,MCM 93825A110,"LN, M3x0.5, LOCK WASHER, STEEL CLASS 8",10,MCMASTER,93825A110,,,1,$0.10,$0.96,100,1,30,,
unknown,RC-ASY-00097,MCM 94500A222,"BHCS, M3X0.5, 8MM, 316SS",8,MCMASTER,94500A222,,,1,$0.06,$0.50,100,1,24,,
unknown,RC-ASY-00098,MCM 5225K36,"PTC Fitting, Bulkhead, 6mm OD Tubing, 13mm Panel Hole, Nylon, Air",1,MCMASTER,5225K36,,,1,$6.05,$6.05,,1,3,,
unknown,RC-ASY-00098,MCM 5225K35,"PTC Fitting, Bulkhead, 4mm OD Tubing, 11mm Panel Hole, Nylon, Air",4,MCMASTER,5225K35,,,1,$5.15,$20.60,,1,12,,
