instrument,time,valves,Lavg,Lstdev,prime_failures,prime_fail_ratio,detected_air_dispenses
olympic,2020-11-12 20:38:40.029070+00:00,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[0.02977579648827943, 0.023546794267860553, 0.021813040290412245, 0.031082465304099315, 0.0240509898964961, 0.021941455284118352, 0.021905499955645953, 0.022966932176417234, 0.024094005220253942, 0.023317538012897175, 0.025681695049948144, 0.030984906196578964, 0.021617242821161117, 0.027703239641470624, 0.0235085883463776, 0.03120757817159029, 0.0232765352397729, 0.027585933612825332, 0.022454127807458875, 0.02384503228202096]","[0.0008425408369144235, 0.00016055284235228553, 9.725038866919723e-05, 0.0007586335550730313, 8.675420196150618e-05, 6.0457775268918135e-05, 0.00011940587302111631, 0.00036571649680497897, 0.0004779635699121405, 0.0001063465696987892, 0.00021522020046801677, 0.0009513991222646178, 0.00012982458579905925, 0.0016483048028953118, 0.0002683789050525506, 0.0017022146098810732, 0.00044286824990255055, 0.000125658787464689, 0.0002213673408165287, 0.0002537224570668522]",28,0.05894736842105263,0
olympic,2020-11-16 21:18:36.598922+00:00,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[0.030538719131094006, 0.024113397549294962, 0.022616943709458152, 0.03007805595092534, 0.02466435097724378, 0.022735613905686052, 0.022747403240174872, 0.02295911314293888, 0.025494406654168245, 0.024840575429516024, 0.02612391706215821, 0.03355558388724104, 0.0222415724927886, 0.027481587671134806, 0.02363558794750821, 0.031530428765733635, 0.023759553802905432, 0.03099333456151373, 0.023402784452408506, 0.024478766292261145]","[0.0005850015719914846, 0.0001275440602642156, 7.567964190500906e-05, 0.0010071737813341982, 0.00012020626567538093, 0.00010679253763794196, 0.0028075055058406823, 0.0003109228584339181, 0.00035586977965773353, 0.00020400127497892105, 0.00020962513549056694, 0.0015409883283392454, 0.0003330649104296163, 0.0009740685319182486, 0.00019268135638811205, 0.0017697294136141501, 0.0004464272481024736, 0.00036041172424957247, 5.702901123697206e-05, 0.00024418039560813055]",28,0.05894736842105263,0
